GEO_ID,NAME,Fam4,NoDep
37001,"Alamance County, North Carolina",78331,70361
37003,"Alexander County, North Carolina",81701,59797
37005,"Alleghany County, North Carolina",26719,47627
37007,"Anson County, North Carolina",53000,54897
37009,"Ashe County, North Carolina",79521,54775
37011,"Avery County, North Carolina",59205,51013
37013,"Beaufort County, North Carolina",77188,62174
37015,"Bertie County, North Carolina",55000,52122
37017,"Bladen County, North Carolina",63177,46841
37019,"Brunswick County, North Carolina",76352,73454
37021,"Buncombe County, North Carolina",84194,69358
37023,"Burke County, North Carolina",60480,57910
37025,"Cabarrus County, North Carolina",103740,76990
37027,"Caldwell County, North Carolina",74266,53730
37029,"Camden County, North Carolina",65679,74563
37031,"Carteret County, North Carolina",92104,71201
37033,"Caswell County, North Carolina",81938,59522
37035,"Catawba County, North Carolina",81103,67053
37037,"Chatham County, North Carolina",104542,86572
37039,"Cherokee County, North Carolina",61875,52188
37041,"Chowan County, North Carolina",64531,54342
37043,"Clay County, North Carolina",75658,54857
37045,"Cleveland County, North Carolina",60760,55897
37047,"Columbus County, North Carolina",72250,49605
37049,"Craven County, North Carolina",80521,70272
37051,"Cumberland County, North Carolina",60926,63031
37053,"Currituck County, North Carolina",82353,90613
37055,"Dare County, North Carolina",87130,73296
37057,"Davidson County, North Carolina",74059,61806
37059,"Davie County, North Carolina",91819,69574
37061,"Duplin County, North Carolina",60381,56277
37063,"Durham County, North Carolina",99814,87263
37065,"Edgecombe County, North Carolina",64821,52620
37067,"Forsyth County, North Carolina",83644,73441
37069,"Franklin County, North Carolina",81116,67907
37071,"Gaston County, North Carolina",77140,65520
37073,"Gates County, North Carolina",81332,59208
37075,"Graham County, North Carolina",50710,48214
37077,"Granville County, North Carolina",79148,67319
37079,"Greene County, North Carolina",66250,63052
37081,"Guilford County, North Carolina",87007,72191
37083,"Halifax County, North Carolina",47297,48610
37085,"Harnett County, North Carolina",71437,67117
37087,"Haywood County, North Carolina",82446,68521
37089,"Henderson County, North Carolina",79256,72711
37091,"Hertford County, North Carolina",60250,51339
37093,"Hoke County, North Carolina",66136,59541
37095,"Hyde County, North Carolina",47821,46985
37097,"Iredell County, North Carolina",93206,71500
37099,"Jackson County, North Carolina",69479,65069
37101,"Johnston County, North Carolina",89724,69868
37103,"Jones County, North Carolina",70150,54192
37105,"Lee County, North Carolina",75587,64798
37107,"Lenoir County, North Carolina",62083,55255
37109,"Lincoln County, North Carolina",89963,69364
37111,"McDowell County, North Carolina",65890,54618
37113,"Macon County, North Carolina",72250,57592
37115,"Madison County, North Carolina",86548,62929
37117,"Martin County, North Carolina",58561,51352
37119,"Mecklenburg County, North Carolina",103129,85250
37121,"Mitchell County, North Carolina",69006,57841
37123,"Montgomery County, North Carolina",62532,59563
37125,"Moore County, North Carolina",89859,76718
37127,"Nash County, North Carolina",66981,66266
37129,"New Hanover County, North Carolina",92289,78396
37131,"Northampton County, North Carolina",57426,47677
37133,"Onslow County, North Carolina",64271,59551
37135,"Orange County, North Carolina",126927,105396
37137,"Pamlico County, North Carolina",65357,63316
37139,"Pasquotank County, North Carolina",73000,70162
37141,"Pender County, North Carolina",95043,70529
37143,"Perquimans County, North Carolina",66953,64366
37145,"Person County, North Carolina",85326,69145
37147,"Pitt County, North Carolina",75685,66354
37149,"Polk County, North Carolina",68986,62940
37151,"Randolph County, North Carolina",66915,59690
37153,"Richmond County, North Carolina",53117,53867
37155,"Robeson County, North Carolina",51080,48993
37157,"Rockingham County, North Carolina",66158,55531
37159,"Rowan County, North Carolina",70959,66007
37161,"Rutherford County, North Carolina",65117,57067
37163,"Sampson County, North Carolina",63188,54586
37165,"Scotland County, North Carolina",55423,57266
37167,"Stanly County, North Carolina",84085,65839
37169,"Stokes County, North Carolina",66563,59059
37171,"Surry County, North Carolina",65075,61049
37173,"Swain County, North Carolina",59650,50705
37175,"Transylvania County, North Carolina",63047,64399
37177,"Tyrrell County, North Carolina",33603,57130
37179,"Union County, North Carolina",112486,84258
37181,"Vance County, North Carolina",46310,56236
37183,"Wake County, North Carolina",125737,96804
37185,"Warren County, North Carolina",54507,55664
37187,"Washington County, North Carolina",65250,52806
37189,"Watauga County, North Carolina",81146,75101
37191,"Wayne County, North Carolina",59943,61474
37193,"Wilkes County, North Carolina",66660,56820
37195,"Wilson County, North Carolina",56828,68112
37197,"Yadkin County, North Carolina",71128,59685
37199,"Yancey County, North Carolina",60547,58995