GEO_ID,NAME,S1903_C03_027E
37037,"Chatham County, North Carolina",69857
37085,"Harnett County, North Carolina",67481
37195,"Wilson County, North Carolina",127660
37183,"Wake County, North Carolina",104668
37159,"Rowan County, North Carolina",60629
37109,"Lincoln County, North Carolina",99306
37119,"Mecklenburg County, North Carolina",91774
37129,"New Hanover County, North Carolina",91667
37019,"Brunswick County, North Carolina",104881
37021,"Buncombe County, North Carolina",80052
37127,"Nash County, North Carolina",68421
37193,"Wilkes County, North Carolina",57841
37023,"Burke County, North Carolina",51967
37035,"Catawba County, North Carolina",72062
37125,"Moore County, North Carolina",92821
37025,"Cabarrus County, North Carolina",93553
37097,"Iredell County, North Carolina",79323
37157,"Rockingham County, North Carolina",93783
37069,"Franklin County, North Carolina",52458
37161,"Rutherford County, North Carolina",86328
37045,"Cleveland County, North Carolina",40698
37071,"Gaston County, North Carolina",69030
37171,"Surry County, North Carolina",48089
37133,"Onslow County, North Carolina",80596
37057,"Davidson County, North Carolina",61443
37067,"Forsyth County, North Carolina",73297
37001,"Alamance County, North Carolina",84473
37101,"Johnston County, North Carolina",64658
37135,"Orange County, North Carolina",72156
37179,"Union County, North Carolina",107675
37051,"Cumberland County, North Carolina",60543
37027,"Caldwell County, North Carolina",88939
37063,"Durham County, North Carolina",98778
37191,"Wayne County, North Carolina",40994
37147,"Pitt County, North Carolina",58244
37049,"Craven County, North Carolina",65726
37151,"Randolph County, North Carolina",67956
37081,"Guilford County, North Carolina",69247
37089,"Henderson County, North Carolina",88750
37031,"Carteret County, North Carolina",80625
37155,"Robeson County, North Carolina",46143